;YYMM;Région;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Balance
494;1606;BFC;2991791.0;36000.0;0.0;73870.0;46542.0;265598.0;-200.0;28266.0;-2541715.0
495;1606;CVDL;2408719.0;6.0;10768868.0;173581.0;48922.0;35113.0;0.0;69204.0;8686975.0
496;1606;GE;6520625.0;718017.0;11884289.0;427674.0;108702.0;1972095.0;-179862.0;101532.0;8511822.0
497;1606;HF;7387191.0;668345.0;5605296.0;506710.0;28908.0;2878.0;0.0;139988.0;-435066.0
498;1606;IDF;9892004.0;33143.0;0.0;5682.0;14475.0;44.0;0.0;194012.0;-9644648.0
499;1606;N;3835034.0;575993.0;9746336.0;113465.0;25214.0;7304.0;0.0;54039.0;6687317.0
500;1606;NlleA;5816461.0;54692.0;6553227.0;92430.0;474851.0;1069008.0;0.0;237360.0;2665107.0
501;1606;O;4959691.0;-1027.0;2573306.0;388986.0;417380.0;2190689.0;-372071.0;113281.0;350853.0
502;1606;PACA;5642559.0;666324.0;0.0;13657.0;308134.0;2209870.0;0.0;114585.0;-2329989.0
503;1606;PDL;3605165.0;23673.0;0.0;124512.0;87316.0;3825.0;0.0;54045.0;-3311794.0
504;1607;AURA;9602567.0;226161.0;10426409.0;107609.0;214243.0;5206445.0;-466634.0;152685.0;6264351.0
505;1607;B;2921041.0;1306.0;0.0;129883.0;49499.0;98208.0;-10972.0;59408.0;-2593709.0
506;1607;BFC;2995115.0;41850.0;0.0;57154.0;59628.0;77533.0;-104.0;35017.0;-2724037.0
507;1607;CVDL;2477809.0;1.0;8863593.0;173811.0;66328.0;4146.0;0.0;75279.0;6705349.0
508;1607;GE;6501631.0;1023950.0;12852064.0;376271.0;132258.0;2008184.0;-208269.0;109859.0;9792686.0
509;1607;HF;7169451.0;896407.0;5033639.0;486797.0;36925.0;2974.0;0.0;155114.0;-557595.0
510;1607;IDF;9514029.0;24669.0;0.0;5484.0;19310.0;11068.0;0.0;252959.0;-9200539.0
511;1607;N;3863865.0;450793.0;9239904.0;108544.0;33546.0;18923.0;0.0;70678.0;6058523.0
512;1607;NlleA;6359077.0;52902.0;6818781.0;83570.0;575569.0;292518.0;0.0;237746.0;1702009.0
513;1607;O;5511460.0;400.0;3401343.0;372270.0;461909.0;1375742.0;-281670.0;135647.0;-45819.0
514;1607;PACA;6346179.0;954361.0;0.0;16630.0;333291.0;1496449.0;-1.0;145741.0;-3399708.0
515;1607;PDL;3696098.0;20970.0;0.0;114197.0;114342.0;1282.0;0.0;57175.0;-3388132.0
516;1608;AURA;8838455.0;171175.0;9316097.0;101700.0;214634.0;3591743.0;-530584.0;160431.0;4186741.0
517;1608;B;2879171.0;1052.0;0.0;177842.0;50023.0;97098.0;-10133.0;57233.0;-2506056.0
518;1608;BFC;2850754.0;35028.0;0.0;65159.0;59032.0;38779.0;0.0;35432.0;-2617324.0
519;1608;CVDL;2373340.0;1.0;9893926.0;192275.0;66303.0;570.0;0.0;81753.0;7861488.0
520;1608;GE;6054441.0;1207685.0;11856109.0;432720.0;128740.0;1701681.0;-205932.0;100881.0;9167443.0
521;1608;HF;6686101.0;1302430.0;4359318.0;632041.0;35271.0;2381.0;0.0;165376.0;-189284.0
522;1608;IDF;8898940.0;16279.0;0.0;6794.0;18287.0;9753.0;0.0;196297.0;-8651530.0
523;1608;N;3717036.0;515784.0;8674926.0;148980.0;32304.0;19365.0;0.0;76144.0;5750467.0
524;1608;NlleA;6225854.0;57486.0;6604602.0;81866.0;580544.0;114137.0;0.0;227254.0;1440035.0
525;1608;O;5512264.0;127.0;3483304.0;375855.0;464963.0;1037270.0;-331104.0;137509.0;-344340.0
526;1608;PACA;6154047.0;583937.0;0.0;15083.0;322595.0;1116206.0;0.0;150930.0;-3965296.0
