Dates;Eolien;Capa_eol;TCH_eol;Eol_p_sinus;Err_sinus;Eol_p_exog;Err_exog;Eol_p_filter;Err_exog_filter;Eol_p_reduit_noreg;Err_filter_noreg;Eol_p_reduit;Err_filter_exog_filter;Eol_p_LinReg;Err_LinReg;Eol_p_LinReg_filter;Err_LinReg_filter
2020-01-08 12:00:00;3287.833333333333;16516;0.19906958908533137;921.6692383956181;2366.164094937715;1553.6872786947577;1734.1460546385752;521.6656924541054;2766.1676408792277;615.1544856929013;2672.6788476404317;288.5164697917954;2999.3168635415377;5011.919092652193;1724.0857593188605;5013.41621840768;1725.5828850743476
2020-01-08 15:00:00;2732.0;16516;0.16541535480745945;1050.690286067868;1681.3097139321321;1578.417752976598;1153.5822470234023;1440.779522971494;1291.2204770285061;1746.3724521970748;985.6275478029254;1733.9622019024634;998.0377980975368;4797.529099400346;2065.529099400346;4798.533866096905;2066.5338660969046
2020-01-08 18:00:00;3057.0;16516;0.18509324291596027;1175.572072185447;1881.427927814553;1518.8050954780144;1538.1949045219853;1666.3030025992234;1390.6969974007766;2102.6175662453634;954.3824337546363;2415.2970775433487;641.7029224566511;4435.083658454133;1378.0836584541328;4435.495683041962;1378.4956830419626
2020-01-08 21:00:00;4686.666666666667;16516;0.2837652377492533;1156.5555988901772;3530.11106777649;1704.1622066759508;2982.5044599907164;1259.2586559101399;3427.4080107565273;1005.6858552297516;3680.9808114369152;1575.3351052934822;3111.3315613731847;4858.130536562408;171.46386989574154;4858.957637850811;172.29097118414353
2020-01-09 00:00:00;6560.333333333332;16519;0.3971386484250458;1117.6595454449123;5442.673787888419;1316.813927119222;5243.51940621411;1386.84059862913;5173.492734704202;552.7089681845617;6007.624365148769;770.3989801241781;5789.934353209153;5334.257467751903;1226.0758655814284;5335.5289535253905;1224.8043798079414
2020-01-09 03:00:00;8452.333333333334;16519;0.5116734265593156;1240.1438834449054;7212.1894498884285;1473.8645075392442;6978.46882579409;1748.0290547975678;6704.304278535767;1244.759238793168;7207.574094540167;1532.96285806271;6919.370475270624;5836.497539530244;2615.835793803091;5837.726863522663;2614.606469810671
2020-01-09 06:00:00;9718.0;16519;0.5882922695078394;1265.308613056247;8452.691386943754;1928.0803068096695;7789.91969319033;1546.9721218709324;8171.027878129066;1344.2944245471176;8373.705575452883;1788.1184516853946;7929.8815483146045;6367.553267382178;3350.4467326178215;6368.907247720256;3349.092752279743
2020-01-09 09:00:00;10195.333333333334;16519;0.617188288233751;930.8160552696393;9264.517278063695;939.8479187823993;9255.485414550934;1723.948068980639;8471.385264352695;1088.720600559692;9106.612732773641;1527.4119712363329;8667.921362097;6909.562573753066;3285.770759580267;6911.333684327423;3283.999649005911
2020-01-09 12:00:00;10096.833333333334;16519;0.6112254575539279;636.249242101369;9460.584091231965;395.44762346096127;9701.385709872373;210.83601018288482;9885.99732315045;853.4602306883835;9243.373102644951;468.16408776439164;9628.669245568943;8099.698571814772;1997.1347615185628;8101.600272928774;1995.2330604045603
2020-01-09 15:00:00;9922.166666666666;16519;0.6006517747240551;543.6265144998355;9378.54015216683;950.1505628830433;8972.016103783622;846.9622145427492;9075.204452123915;1275.4171425738523;8646.749524092813;1418.8052006195844;8503.361466047081;7922.587308995327;1999.579357671339;7923.850656114359;1998.3160105523073
2020-01-09 18:00:00;10915.666666666666;16519;0.6607946405149625;852.7227592671147;10062.94390739955;1223.6673701867821;9691.999296479884;1344.824404527358;9570.842262139307;1482.8058574785418;9432.860809188123;1979.718016309166;8935.9486503575;7369.342067745169;3546.3245989214975;7369.768189807718;3545.898476858947
2020-01-09 21:00:00;10459.833333333334;16519;0.6332001533587587;1140.5399559572934;9319.29337737604;1134.6535243387648;9325.17980899457;1243.8185541637947;9216.01477916954;478.47751938989603;9981.355813943439;1031.5631473222109;9428.270186011125;7451.525023090882;3008.308310242452;7451.586903769364;3008.246429563971
2020-01-10 00:00:00;9171.666666666666;16523;0.5550848312453347;1236.590512618842;7935.076154047823;1859.4132605421853;7312.25340612448;1349.9960874277679;7821.6705792388975;359.0998211268604;8812.566845539804;318.57043619112795;8853.096230475538;7368.625253359137;1803.0414133075285;7368.598567294463;1803.068099372203
